Kod,Ders,Öğretim Yöntemi,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN
BIO 301E,Fundamentals of Biology,Physical (Face to face),Ece Polat,Tuesday / Friday,13:30/17:29 / 09:30/12:29,FEB / FEB / D101 / D101,0,55,"CEVE_LS, CHZ_LS, CHZE_LS, EEE_LS, EHB_LS, EHBE_LS, EHS_LS, ELE_LS, ELH_LS, ELK_LS, ELKE_LS, FIZ_LS, FIZE_LS, GID_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEO_LS, JEOE_LS, KIM_LS, KIME_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MADE_LS, MET_LS, METE_LS, PET_LS, PETE_LS",30215
BLG 223E,Data Structures,Physical (Face to face),Muhammet Alkan,Wednesday / Wednesday / Thursday / Thursday,09:30/12:29 / 13:30/15:29 / 09:30/11:59 / 13:30/15:29,BBB / BBB / BBB / BBB / Z-17 / Z-17 / Z-17 / Z-17,0,50,"BLG_LS, BLGE_LS, CEN_LS, SECE_LS",30334
BLG 458E,Functional Programming,Physical (Face to face),Yusuf Hüseyin Şahin,Friday / Friday,09:30/12:29 / 14:30/16:29,BBB / BBB / Z-19 / Z-19,0,70,"BLG_LS, BLGE_LS, CEN_LS",30336
CEV 302E,Biological Processes,Physical (Face to face),"Rüya Taşlı , / Özlem Karahan Özgün",Monday / Wednesday,13:30/18:29 / 09:00/13:29,INB / INB / A203 / A203,0,25,"CEV_LS, CEVE_LS",30158
CEV 347E,Unit Operations,Physical (Face to face),"Rüya Taşlı , / Özlem Karahan Özgün",Tuesday / Thursday,09:30/13:29 / 09:30/12:29,INB / INB / A203 / A203,0,25,"CEV_LS, CEVE_LS",30159
CEV 442E,Environmental Law,Physical (Face to face),Derya Yüksel İmer,Tuesday / Wednesday,10:30/12:29 / 10:30/13:29,INB / INB / A101 / A101,0,60,"CEV_LS, CEVE_LS",30157
CHZ 318,Endüstriyel Hammaddeler,Physical (Face to face),Murat Olgaç Kangal,Monday / Monday,09:30/12:59 / 14:00/17:29,MDB / MDB / -- / --,0,50,"CHZ_LS, CHZ_YD, MAD_LS, MAD_YD",30302
CIE 326,Reinforced Concrete Design,Physical (Face to face),Medine İspir Arslan,Monday / Monday / Wednesday / Wednesday,09:00/11:59 / 14:00/16:59 / 09:00/11:59 / 14:00/16:59,INB / INB / INB / INB / -- / -- / -- / --,0,25,SIN_LS,30394
CIE 344,Hydraulics and Hydrology,Physical (Face to face),"Mehmet Özger , / Cihan Bayındır",Wednesday / Wednesday / Thursday,08:30/12:29 / 13:30/17:29 / 08:30/12:29,INB / INB / INB / -- / -- / --,0,40,SIN_LS,30383
DEN 308E,Stability of Marine Vehicles,Physical (Face to face),Erdem Üçer,Wednesday / Wednesday,09:30/12:29 / 13:00/14:59,MEDC / MEDC / 3D20 / 2D17,0,50,DEN_LS,30399
DEN 325E,Adv. Manufacturing Process,Physical (Face to face),Mete Kayıhan,Monday / Monday,09:30/12:29 / 13:30/17:29,MEDC / MEDC / 2D18 / 2D18,0,60,"DEN_LS, DENE_LS",30398
DEN 339,Deniz Kirliliği,Physical (Face to face),Oktay Eren Türeyen,Tuesday / Tuesday,09:30/12:29 / 13:30/15:29,MEDC / MEDC / 2D14 / 2D14,0,30,"DEN_LS, OSN_YD",30326
DEN 340E,Hydrostatics of Marine Vehic.,Physical (Face to face),Ömer Kemal Kınacı,Tuesday / Tuesday,10:00/11:59 / 13:00/15:59,MEDC / MEDC / 2D17 / 2D17,0,30,DEN_LS,30402
DFH 202E,Ship Emergency Response,Physical (Face to face),Orhan Gönel,Tuesday / Wednesday,09:30/12:29 / 13:30/15:29,DZB / DZB / -- / --,0,30,"DUI_LS, MTM_LS",30435
DFH 232E,Business Logistics,Physical (Face to face),Sinan Çakır,Monday / Monday,09:30/12:29 / 13:30/15:29,DZB / DZB / -- / --,0,30,"DUI_LS, MTM_LS",30436
DNK 201,Dinamik,Physical (Face to face),Erol Demirkan,Monday / Monday / Wednesday,10:30/12:29 / 13:30/16:29 / 10:30/12:29,INB / INB / INB / -- / -- / --,0,50,INS_LS,30375
DNK 201E,Dynamics,Physical (Face to face),Mehmet Selim Akay,Wednesday / Wednesday,09:30/12:29 / 13:30/17:29,MEDC / MEDC / ZA3 / ZA3,0,50,"UCK_LS, UZB_LS, UZBE_LS",30281
DNK 201E,Dynamics,Physical (Face to face),Ünal Aldemir,Tuesday / Wednesday / Wednesday,13:30/15:29 / 09:30/12:29 / 13:30/15:29,INB / INB / INB / -- / -- / --,0,25,INSE_LS,30373
DUI 103E,Seamanship,Physical (Face to face),-,Thursday / Thursday / Friday,10:30/12:29 / 13:30/16:29 / 10:30/12:29,DZB / DZB / DZB / -- / -- / --,0,0,"DUI_LS, MTM_LS",30437
DUI 251,Meteoroloji,Physical (Face to face),Ayşe Nak,Wednesday / Wednesday,13:30/16:29 / 08:30/12:29,DZB / DZB / -- / --,0,0,"DUI_LS, MTM_LS",30251
DUI 311E,Celestial Navigation,Physical (Face to face),Orhan Gönel,Tuesday / Wednesday,13:30/16:29 / 08:30/12:29,DZB / DZB / -- / --,0,0,"DUI_LS, MTM_LS",30252
DUI 361E,Technical Ship Management,Physical (Face to face),Gizem Çevik,Thursday / Thursday,09:30/12:29 / 13:30/15:29,DZB / DZB / -- / --,0,30,"DUI_LS, MTM_LS",30438
DUI 407E,Cargo Handl and Stowage,Physical (Face to face),Cenk Ay,Monday / Monday,08:30/12:29 / 13:30/16:29,DZB / DZB / -- / --,0,30,"DUI_LS, MTM_LS",30439
DUI 472,Oşinografi,Physical (Face to face),Ayşe Nak,Tuesday / Tuesday,09:30/12:29 / 13:30/15:29,DZB / DZB / -- / --,0,30,DUI_LS,30440
DUI 474E,Bridge Team and Resource Management,Physical (Face to face),Cemil Yurtören,Tuesday / Tuesday,08:30/12:29 / 13:30/16:29,DZB / DZB / -- / --,0,30,"DUI_LS, MTM_LS",30441
EEF 206E,Signal Processing&Linear Syst.,Physical (Face to face),Mehmet Can,Monday / Monday / Wednesday,08:30/11:59 / 13:30/16:29 / 08:30/11:29,EEB / EEB / EEB / 5202 / 5202 / 5202,0,80,"EEE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",30269
