Kod,Ders,Öğretim Yöntemi,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN
GEM 201E,Dynamics,Physical (Face to face),Mustafa Erden Yıldızdağ,Monday / Tuesday,08:30/13:29 / 08:30/12:59,MEDC / MEDC / ZA1 / ZA1,0,30,GEM_LS,30328
GEM 203,Mukavemet I,Physical (Face to face),Mustafa Erden Yıldızdağ,Thursday / Friday,08:30/14:29 / 08:30/11:59,MEDC / MEDC / ZA1 / ZA1,0,30,GEM_LS,30329
GEM 325,Gemi Yapı Elemanları,Physical (Face to face),"Gökhan Tansel Tayyar , / Erdem Üçer",Monday / Monday / Tuesday / Tuesday,08:30/11:59 / 13:30/14:29 / 08:30/12:29 / 13:30/14:29,MEDC / MEDC / MEDC / MEDC / ZD1 / ZD1 / ZD1 / ZD1,0,100,GEM_LS,30403
GEM 424E,Reliability Of Ship Structures,Physical (Face to face),Ahmet Ergin,Monday / Thursday,09:00/11:59 / 10:00/11:59,MEDC / MEDC / 2D16 / 2D16,0,30,"GEM_LS, GEME_LS",30443
GEO 103E,Fundamentals of Surveying,Physical (Face to face),Volkan Özbey,Thursday / Friday,08:30/13:29 / 14:00/18:29,INB / INB / B308 / B308,0,30,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",30364
GEO 203E,Coordinate Sys. and Geodesy I,Physical (Face to face),Bihter Erol,Monday / Tuesday,13:30/18:29 / 13:30/17:59,INB / INB / D201 / D201,0,30,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",30395
GEO 204E,Th.of Err. And Ad. C.,Physical (Face to face),Serdar Erol,Monday / Tuesday,13:30/18:29 / 13:30/17:59,INB / INB / B308 / B308,0,30,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",30365
GEO 212E,Engineering Surveying,Physical (Face to face),Volkan Özbey,Thursday / Friday,13:30/16:29 / 08:30/12:29,INB / INB / D201 / D201,0,50,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",30366
GEO 216E,Computer Aided Map Design,Physical (Face to face),Mehmet Ufuk Özerman,Tuesday / Thursday,08:30/13:29 / 08:30/12:59,INB / INB / D103 / D103,0,35,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",30367
GEO 220E,Mathematics for Geomatics Eng.,Physical (Face to face),Mehmet Ufuk Özerman,Monday / Wednesday / Wednesday,08:30/10:59 / 13:30/15:29 / 08:30/10:59,INB / INB / INB / A102 / A102 / A102,0,35,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",30368
GEO 225E,Prob.and Stat. for Geom. Eng.,Physical (Face to face),Muhammed Enes Atik,Thursday / Friday,08:30/13:29 / 14:00/15:59,INB / INB / D201 / D201,0,50,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",30396
GEO 314E,Geodesy II and Projections,Physical (Face to face),Serdar Erol,Monday / Tuesday,11:00/12:59 / 08:30/13:29,INB / INB / B308 / B308,0,50,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",30369
GEO 476,Geo. Müh. Proje Planlama Yön.,Physical (Face to face),Reha Metin Alkan,Thursday,08:30/13:29,INB / B204,0,30,"GEO_LS, HTA_LS",30260
GMI 132E,Numerical Analy. of Eng.Syst.,Physical (Face to face),Ata Bilgili,Tuesday / Tuesday,08:30/11:29 / 12:30/14:29,DZB / DZB / -- / --,0,35,"GMI_LS, MEN_LS",30245
GMI 261E,Fluid Mechanics,Physical (Face to face),Ata Bilgili,Monday / Monday,08:30/11:29 / 12:30/16:29,DZB / DZB / -- / --,0,35,"DUI_LS, GMI_LS, MEN_LS, MTM_LS",30442
GMI 481E,Marine Insurance,Physical (Face to face),Sinan Çakır,Wednesday / Wednesday,08:30/11:29 / 12:30/14:29,DZB / DZB / -- / --,0,35,"GMI_LS, MEN_LS",30247
GMI 486E,Shipping Finance,Physical (Face to face),Sinan Çakır,Friday / Friday,08:30/11:29 / 14:30/16:29,DZB / DZB / -- / --,0,35,"GMI_LS, MEN_LS",30246
HUK 201,İş Hukuku,Physical (Face to face),Mahmut Kabakcı,Thursday / Friday,13:30/17:29 / 09:30/12:29,MSB / MSB / -- / --,0,140,"AIN_LS, BIO_LS, BIOE_LS, CEV_LS, CEVE_LS, CHZ_LS, CHZE_LS, DEN_LS, DENE_LS, EEE_LS, EHB_LS, EHBE_LS, ELE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, FIZ_LS, FIZE_LS, GEM_LS, GEME_LS, GEMK_LS, GEO_LS, GEOE_LS, GID_LS, GIDE_LS, IEBE_LS, IML_LS, IMLE_LS, IND_LS, INS_LS, INSE_LS, JEF_LS, JEFE_LS, KIM_LS, KIME_LS, KOM_LS, KOME_LS, MAD_LS, MADE_LS, MAK_LS, MAKE_LS, NAE_LS, ROS_LS, ROSE_LS, SED_LS, TEK_LS, TEKE_LS, UCK_LS, UZB_LS, UZBE_LS",30259
ICM 366E,Interior Arch.Desgn Studio III,Physical (Face to face),Ethem Gürer,Monday / Monday / Wednesday / Thursday / Thursday,08:30/12:29 / 13:30/17:29 / 08:30/12:29 / 08:30/12:29 / 13:30/16:29,MMB / MMB / MMB / MMB / MMB / -- / -- / -- / -- / --,0,7,"IAD_LS, ICM_LS",30256
ICM 449E,Interior Arch.Desgn Studio IV,Physical (Face to face),Ethem Gürer,Tuesday / Tuesday / Wednesday / Friday / Friday,08:30/12:29 / 13:30/17:29 / 13:30/17:29 / 08:30/12:29 / 14:30/17:29,MMB / MMB / MMB / MMB / MMB / -- / -- / -- / -- / --,0,7,"IAD_LS, ICM_LS",30257
ING 100,EAP Through Global Goals,Physical (Face to face),Esra Sancak,Monday / Wednesday,13:00/15:59 / 13:00/16:59,YDY / YDY / 150 / 150,0,24,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",30160
ING 100,EAP Through Global Goals,Physical (Face to face),Esra Sancak,Tuesday / Thursday,13:00/15:59 / 13:00/16:59,YDY / YDY / 150 / 150,0,24,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",30161
ING 100,EAP Through Global Goals,Physical (Face to face),Esra Sancak,Monday / Wednesday,09:00/12:59 / 09:00/11:59,YDY / YDY / 150 / 150,0,24,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",30253
ING 100,EAP Through Global Goals,Physical (Face to face),Esra Sancak,Tuesday / Thursday,09:00/12:59 / 09:00/11:59,YDY / YDY / 150 / 150,0,24,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",30254
ING 112A,Basics of Academic Writing,Virtual (Online),Halime Ceren Göktaş,Monday / Wednesday,09:00/11:29 / 09:00/11:29,YDY / YDY / -- / --,0,24,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",30162
ING 112A,Basics of Academic Writing,Virtual (Online),Halime Ceren Göktaş,Monday / Wednesday,11:30/13:59 / 11:30/13:59,YDY / YDY / -- / --,0,24,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",30163
ING 112A,Basics of Academic Writing,Virtual (Online),Halime Ceren Göktaş,Monday / Wednesday,14:00/16:29 / 14:00/16:29,YDY / YDY / -- / --,0,24,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",30164
ING 112A,Basics of Academic Writing,Virtual (Online),Halime Ceren Göktaş,Tuesday / Thursday,09:00/11:29 / 09:00/11:29,YDY / YDY / -- / --,0,24,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",30165
ING 112A,Basics of Academic Writing,Virtual (Online),Halime Ceren Göktaş,Tuesday / Thursday,11:30/13:59 / 11:30/13:59,YDY / YDY / -- / --,0,24,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",30166
ING 112A,Basics of Academic Writing,Virtual (Online),Halime Ceren Göktaş,Tuesday / Thursday,14:00/16:29 / 14:00/16:29,YDY / YDY / -- / --,0,24,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",30167
ING 112A,Basics of Academic Writing,Virtual (Online),Merve Sevtap Süren,Monday / Wednesday,09:00/11:29 / 09:00/11:29,YDY / YDY / -- / --,0,24,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",30168
ING 112A,Basics of Academic Writing,Virtual (Online),Merve Sevtap Süren,Monday / Wednesday,11:30/13:59 / 11:30/13:59,YDY / YDY / -- / --,0,24,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",30169
ING 112A,Basics of Academic Writing,Virtual (Online),Merve Sevtap Süren,Tuesday / Thursday,09:00/11:29 / 09:00/11:29,YDY / YDY / -- / --,0,24,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",30170
ING 112A,Basics of Academic Writing,Virtual (Online),Merve Sevtap Süren,Tuesday / Thursday,11:30/13:59 / 11:30/13:59,YDY / YDY / -- / --,0,24,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",30171
ING 112A,Basics of Academic Writing,Virtual (Online),Hacer Şivil,Tuesday / Thursday,11:30/13:59 / 11:30/13:59,YDY / YDY / -- / --,0,24,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",30172
ING 112A,Basics of Academic Writing,Virtual (Online),Hacer Şivil,Tuesday / Thursday,14:00/16:29 / 14:00/16:29,YDY / YDY / -- / --,0,24,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",30173
ING 112A,Basics of Academic Writing,Virtual (Online),Hatice Gökçin Köksal Çekin,Tuesday / Thursday,09:00/11:29 / 09:00/11:29,YDY / YDY / -- / --,0,24,-,30174
ING 112A,Basics of Academic Writing,Virtual (Online),Hatice Gökçin Köksal Çekin,Tuesday / Thursday,11:30/13:59 / 11:30/13:59,YDY / YDY / -- / --,0,24,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",30175
ING 201A,Essentials of Res.Paper Writ.,Virtual (Online),Mehtap İpek Kurt,Monday / Wednesday,09:00/11:29 / 09:00/11:29,YDY / YDY / -- / --,0,24,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",30176
ING 201A,Essentials of Res.Paper Writ.,Virtual (Online),Mehtap İpek Kurt,Tuesday / Thursday,09:00/11:29 / 09:00/11:29,YDY / YDY / -- / --,0,24,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",30177
ING 201A,Essentials of Res.Paper Writ.,Virtual (Online),Mehtap İpek Kurt,Monday / Thursday,11:30/13:59 / 11:30/13:59,YDY / YDY / -- / --,0,24,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",30178
ING 201A,Essentials of Res.Paper Writ.,Virtual (Online),Mehtap İpek Kurt,Tuesday / Friday,11:30/13:59 / 14:00/16:29,YDY / YDY / -- / --,0,24,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",30179
ING 201A,Essentials of Res.Paper Writ.,Virtual (Online),Mehtap İpek Kurt,Wednesday / Friday,11:30/13:59 / 09:00/11:29,YDY / YDY / -- / --,0,24,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS",30180
